RAS_id	locus_tag	lat	daylight	depth	temp	sal	O2_conc	O2_sat	chl_sens	AW_frac	PW_frac	NO3_NO2	PO4	NO2	SiO4	iceConc	iceDist	icePast	iceDistPast	MLD	sample_title	mooringFull	mooring	year	lon	date	monthFull	month	jday
07_2016_EGC_1	16S	78.83	24	80.16	3.44	35.01	296.24	90.33	NA	0.91	0.09	11.31	0.76	0.05	4.47	0	18.89	6.23	57.49	NA	RAS_EGC_07_1617_1	EGC-3	EGC	2016-17	-2.79	2016-07-10	Jul-16	Jul	192
07_2016_EGC_2	16S	78.83	24	83.15	3.52	35.01	295.5	90.25	NA	0.9	0.1	NA	NA	NA	NA	12.69	8.51	3.5	17.12	NA	RAS_EGC_07_1617_2	EGC-3	EGC	2016-17	-2.79	2016-07-26	Jul-16	Jul	208
08_2016_EGC_1	16S	78.83	24	79.79	3.25	34.95	290.62	88.15	NA	0.84	0.16	10.95	0.74	0.05	4.34	3.17	14.77	21.45	2.42	NA	RAS_EGC_08_1617_1	EGC-3	EGC	2016-17	-2.79	2016-08-11	Aug-16	Aug	224
08_2016_EGC_2	16S	78.83	20.77	81.13	4.36	35.09	291.12	90.8	NA	0.99	0.01	12.84	0.81	0	4.44	7.51	10.68	5.45	16.46	NA	RAS_EGC_08_1617_2	EGC-3	EGC	2016-17	-2.79	2016-08-27	Aug-16	Aug	240
09_2016_EGC_1	16S	78.83	15	81.14	0.08	34.47	306.14	85.43	NA	0.32	0.68	NA	NA	NA	NA	18.13	3.85	55.37	-10.3	NA	RAS_EGC_09_1617_1	EGC-3	EGC	2016-17	-2.79	2016-09-12	Sep-16	Sep	256
09_2016_EGC_2	16S	78.83	10.72	87.05	-0.44	34.38	314.27	86.43	NA	0.22	0.78	NA	NA	NA	NA	71.21	-11.6	29.29	2.23	NA	RAS_EGC_09_1617_2	EGC-3	EGC	2016-17	-2.79	2016-09-28	Sep-16	Sep	272
10_2016_EGC_1	16S	78.83	5.91	79.88	-1.83	34.21	348.5	92.24	NA	0.06	0.94	5.05	0.44	0	2.31	98.28	-41.46	80.38	-27.49	NA	RAS_EGC_10_1617_1	EGC-3	EGC	2016-17	-2.79	2016-10-14	Oct-16	Oct	288
10_2016_EGC_2	16S	78.83	0	87.56	3.9	34.93	294.6	90.76	NA	0.8	0.2	NA	NA	NA	NA	13.88	10.36	84.02	-26.28	NA	RAS_EGC_10_1617_2	EGC-3	EGC	2016-17	-2.79	2016-10-30	Oct-16	Oct	304
11_2016_EGC	16S	78.83	0	80.02	1.5	34.61	306.34	88.73	NA	0.47	0.53	NA	0.56	0	2.93	38.32	-2.33	47.91	-8.5	NA	RAS_EGC_11_1617	EGC-3	EGC	2016-17	-2.79	2016-11-15	Nov-16	Nov	320
12_2016_EGC_1	16S	78.83	0	89.74	-0.47	34.41	312.83	86	NA	0.27	0.73	7.45	0.56	0	3.58	70.72	-16.16	61.3	-7.96	NA	RAS_EGC_12_1617_1	EGC-3	EGC	2016-17	-2.79	2016-12-01	Dec-16	Dec	336
12_2016_EGC_2	16S	78.83	0	83.61	3.37	34.83	302.81	92.04	NA	0.69	0.31	NA	NA	NA	NA	99.52	-30.63	56.69	-8.52	NA	RAS_EGC_12_1617_2	EGC-3	EGC	2016-17	-2.79	2016-12-17	Dec-16	Dec	352
01_2017_EGC_1	16S	78.83	0	150.14	3.57	35.02	295.36	90.33	NA	0.92	0.08	13.14	0.81	0	5	0	23.94	35.84	5.12	NA	RAS_EGC_01_1617_1	EGC-3	EGC	2016-17	-2.79	2017-01-02	Jan-17	Jan	2
01_2017_EGC_2	16S	78.83	0	86.18	3.14	34.95	304.44	92.09	NA	0.84	0.16	11.72	0.74	0	4.23	89.61	-22.3	40.83	-2.86	NA	RAS_EGC_01_1617_2	EGC-3	EGC	2016-17	-2.79	2017-01-18	Jan-17	Jan	18
02_2017_EGC_1	16S	78.83	0	108.64	-0.72	34.23	320.43	87.35	NA	0.05	0.95	7.8	0.59	0	4.19	84.38	-11.6	91.76	-25.66	NA	RAS_EGC_02_1617_1	EGC-3	EGC	2016-17	-2.79	2017-02-03	Feb-17	Feb	34
02_2017_EGC_2	16S	78.83	0	81.83	-1.72	33.75	347.38	91.89	NA	0	1	4.91	0.47	0	3.64	83.98	-48.39	86.81	-28.6	NA	RAS_EGC_02_1617_2	EGC-3	EGC	2016-17	-2.79	2017-02-19	Feb-17	Feb	50
03_2017_EGC_1	16S	78.83	7.75	80.02	-1.39	34.12	328.98	88.06	NA	0	1	6.5	0.55	0	4.48	94.03	-69.24	93.7	-36.3	NA	RAS_EGC_03_1617_1	EGC-3	EGC	2016-17	-2.79	2017-03-07	Mar-17	Mar	66
03_2017_EGC_2	16S	78.83	12.24	86.05	1.83	34.78	312.51	91.41	NA	0.67	0.33	11.83	0.74	0	4.52	90.86	-45.73	87.32	-41.14	NA	RAS_EGC_03_1617_2	EGC-3	EGC	2016-17	-2.79	2017-03-23	Mar-17	Mar	82
04_2017_EGC_1	16S	78.83	16.76	79.83	-0.3	34.35	318.28	87.83	NA	0.18	0.82	NA	NA	NA	NA	98.18	-37.35	94.5	-46.29	NA	RAS_EGC_04_1617_1	EGC-3	EGC	2016-17	-2.79	2017-04-08	Apr-17	Apr	98
